name,brand,slug,price,gender,category,concentration,scent_notes,intensity,occasion,description,stock_quantity,is_available,image
Very Good Girl,Carolina Herrera,carolina-herrera-very-good-girl-k,200,K,floral,edp,"Top: czerwona porzeczka, liczi; Heart: róża; Base: wanilia, wetyweria",strong,special,"Very Good Girl to uwodzicielski zapach kwiatowo-owocowy stworzony dla pewnych siebie kobiet. Otwiera się soczystymi nutami czerwonej porzeczki i egzotycznej liczi, które prowadzą do romantycznego serca z różą. Ciepła baza wanilii i wetyweii tworzy zmysłowy finisz, który pozostawia niezapomnialne wrażenie. Ten odważny zapach w charakterystycznej czerwonej butelce w kształcie szpilki jest idealny na wieczorne wyjścia i specjalne okazje.",10,True,products/IMG-20260409-WA0000.jpg
Phantom Parfum,Paco Rabanne,paco-rabanne-phantom-parfum-m,200,M,woody,parfum,"Top: rabarbar, kardamon, bergamotka, cytryna; Heart: lawenda, paczula, geranium, cedr; Base: wanilia, wetyweria z Haiti, balsam tolu",strong,special,"Phantom Parfum to intensywna wersja kultowego zapachu Paco Rabanne, zapakowana w futurystyczny flakon w kształcie robota. Kompozycja łączy świeże nuty cytrusowe z aromatyczną lawendą i ciepłą wanilią, tworząc nowoczesny zapach pełen pewności siebie. Unikalny flakon z technologią NFC pozwala na połączenie ze smartfonem, otwierając dostęp do dodatkowych funkcji. To zapach dla mężczyzn, którzy cenią innowacje i chcą wyróżnić się z tłumu.",10,True,products/IMG-20260409-WA0001.jpg
Code Parfum,Giorgio Armani,giorgio-armani-code-parfum-m,200,M,woody,parfum,"Top: bergamotka i liść bergamotki; Heart: irys, aldehydy, szałwia muszkatołowa; Base: fasola tonka i cedr",strong,special,"Mocny, ale wrażliwy zapach, który na nowo odkrywa wyjątkowy charakter oryginalnego Armani Code. Zachowuje drzewną, aromatyczną i zmysłową tożsamość, wyrażając się aromatycznymi nutami głowy i silnie męskimi nutami bazy. Serce jest nasycone wzmocnioną wrażliwością, tworząc nowoczesny i elegancki zapach dla mężczyzn ceniących luksus i wysoką jakość. Ma głęboki i zmysłowy aromat zapewniający trwałość przez cały dzień.",10,True,products/IMG-20260409-WA0002.jpg
Chance Eau Tendre,Chanel,chanel-chance-eau-tendre-k,200,K,floral,edt,"Top: pigwa, grejpfrut; Heart: hiacynt, jaśmin; Base: piżmo, irys, cedr wirginijski, ambra",light,daily,"Chance Eau Tendre to delikatna kwiatowo-owocowa kompozycja stworzona przez Jacques Polge'a w 2010 roku. Otwiera się świeżymi nutami pigwy i grejpfruta, przechodząc w romantyczne serce z hiacyntem i jaśminem. Ciepła baza z piżma, irysa i ambry nadaje zapachowi kobiecy i zmysłowy charakter. Idealny na co dzień dla kobiet ceniących świeżość i elegancję.",10,True,products/IMG-20260409-WA0003.jpg
Valentino Donna Born in Roma Purple Melancholia,Valentino,valentino-donna-born-in-roma-purple-melancholia-k,200,K,floral,parfum,"Top: śliwka; Heart: osmantus, jaśmin; Base: wanilia z Madagaskaru",light,daily,"Valentino Donna Born in Roma Purple Melancholia to ciepły kwiatowo-owocowy zapach stworzony dla kobiet poszukujących refleksyjnej elegancji. Kompozycja otwiera się soczystą nutą śliwki, przechodząc w delikatne serce z osmantusem i jaśminem. Bogata baza z wanilią z Madagaskaru nadaje zapachowi ciepłą, zmysłową głębię. Idealny na codzienne noszenie i nostalgiczne chwile zadumy.",10,True,products/IMG-20260409-WA0004.jpg
Chanel No 5,Chanel,chanel-no-5-k,200,K,floral,edp,"Top: aldehydy, ylang-ylang, neroli, bergamot, brzoskwinia; Heart: róża, jaśmin, irys, konwalia; Base: drzewo sandałowe, mech dębowy, wanilia, paczula, wetyweria",strong,special,"Chanel No 5 to legendarny zapach stworzony w 1921 roku przez Ernesta Beaux na zlecenie Coco Chanel. Ta ikoniczna kompozycja słynie z przełomowego użycia aldehydów, które nadają jej unikalny, iskrzący charakter. Otwiera się świeżymi aldehydami i kwiatowymi nutami, przechodząc w bogate serce z róży z Grasse i jaśminu. Głęboka baza z drzewa sandałowego i wanilii tworzy zmysłowy i trwały finisz. Idealny na wyjątkowe okazje i wieczorne wyjścia.",10,True,products/IMG-20260409-WA0005.jpg
Invictus Parfum,Rabanne,rabanne-invictus-parfum-m,200,M,fresh,parfum,"Top: nuty morskie, lawenda, różowy pieprz; Heart: mydło, liść fiołka, mirt; Base: piżmo, kaszmeran, drzewo sandałowe",strong,special,"Invictus Parfum to intensywna aromatyczno-drzewna kompozycja stworzona dla pewnych siebie mężczyzn. Świeża lawenda w otwarciu łączy się z zmysłowymi nutami mydła i głębokim drewnem sandałowym. Zapach emanuje siłą i męskością, idealny na wieczorne okazje i ważne wydarzenia. Trwała formuła parfum zapewnia długotrwały sillaż godny legendarnego bohatera.",10,True,products/IMG-20260409-WA0006.jpg
Born in Roma Yellow Dream,Valentino,valentino-born-in-roma-yellow-dream-k,200,K,floral,parfum,Top: cytryna; Heart: róża damasceńska; Base: białe piżmo,light,daily,"Born in Roma Yellow Dream to świeża floralna kompozycja, która otwiera się energetyczną nutą włoskiej cytryny primofiore. W sercu kryje się zmysłowa esencja róży damasceńskiej, która nadaje zapachowi kobiecą elegancję. Bazę stanowi delikatne białe piżmo, które zapewnia pudrową miękkość i długotrwały komfort. Idealny na co dzień jako orzeźwiający i luminescencyjny zapach inspirowany słonecznym światłem wiecznego miasta.",10,True,products/IMG-20260409-WA0007.jpg
Bright Crystal Parfum,Versace,versace-bright-crystal-parfum-k,200,K,floral,parfum,"Top: yuzu, granat, czerwone owoce; Heart: piwonia, lotus, magnolia; Base: piżmo, ambra, nuty drzewne",light,daily,"Versace Bright Crystal Parfum to świeża, kwiatowa kompozycja inspirowana ulubionymi zapachami Donatelli Versace. Otwiera się cytrusową nutą yuzu i soczystym granatem, przechodząc w delikatne serce z piwonii, lotosu i magnolii. Ciepła baza z piżma i ambry nadaje zapachowi trwałość i zmysłowy charakter. Idealny na codzienne noszenie i letnie dni.",10,True,products/IMG-20260409-WA0008.jpg
Scandal Le Parfum,Jean Paul Gaultier,jean-paul-gaultier-scandal-le-parfum-k,200,K,oriental,parfum,"Top: jaśmin; Heart: karmel, sól; Base: wanilia",strong,special,"Scandal Le Parfum to intensywna wersja kultowego zapachu Jeana Paula Gaultiera, stworzona dla kobiet pragnących maksymalnej ekspresji. Otwiera się zmysłowym jaśminem, który przechodzi w serce z solonym karmelem tworzącym niepowtarzalny gourmet efekt. Baza z wanilii nadaje kompozycji ciepłą, zmysłową głębię. Idealny na wieczorne wyjścia i wyjątkowe okazje, kiedy chcesz zostać zauważona.",10,True,products/IMG-20260409-WA0009.jpg
